CASE REFERENCE,OPEN DATE,CLOSED DATE,STATUS,SUBJECT,REASON,TYPE,OBJECT TYPE,ADDRESS NUMBER,ADDRESS LINE 1,ADDRESS LINE 2,CITY,STATE,ZIP CODE,PROPERTY ID,LOCATION,LATITUDE,LONGITUDE,COUNCIL DISTRICT,POLICE DISTRICT,CENSUS TRACT,CENSUS BLOCK GROUP,CENSUS BLOCK,NEIGHBORHOOD,X COORDINATE,Y COORDINATE
1000530360,05/25/2016 11:44:00 AM,05/26/2016 03:04:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Pay Station (Req_Serv),Street,,Exchange St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000530372,05/25/2016 12:03:00 PM,05/26/2016 04:06:00 PM,Closed,Dept of Public Works,Streets,Sweeper (Req_Serv),Street,,POMONA,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000530392,05/25/2016 12:37:00 PM,05/25/2016 02:17:00 PM,Closed,Dept of Public Works,Engineering - Street Repairs,Paving (Req_Serv),Street,,CUMBERLAND,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000530452,05/25/2016 01:59:00 PM,06/22/2016 02:28:00 PM,Closed,Dept of Public Works,Rodent Control,Pest (Req_Serv),Street,,PETER,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000530568,05/25/2016 10:54:00 PM,06/06/2016 12:06:00 PM,Closed,Utilities,National Grid,Streetlights (Req_Serv),Street,,PROSPECT,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000530607,05/26/2016 09:38:00 AM,05/26/2016 04:06:00 PM,Closed,Dept of Public Works,Streets,Sweeper (Req_Serv),Street,,Elmwood Ave,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000530617,05/26/2016 09:44:00 AM,05/26/2016 01:37:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,ELMWOOD SOUTH,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000530749,05/26/2016 12:13:00 PM,05/26/2016 01:17:00 PM,Closed,Dept of Public Works,Engineering - Street Repairs,Paving (Req_Serv),Street,,Smith St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000530882,05/26/2016 04:12:00 PM,05/27/2016 03:41:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Pay Station (Req_Serv),Street,,CHIPPEWA WEST,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000531133,05/27/2016 02:16:00 PM,06/01/2016 12:56:00 PM,Closed,Dept of Public Works,Sanitation,Pick and Pay (Req_Serv),Individual,,,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000531191,05/27/2016 03:31:00 PM,05/27/2016 03:51:00 PM,Closed,Dept of Parking,Parking Violations Bureau,Parking Issues (Req_Serv),Property,100,ERIE,,Buffalo,NY,,111.17-17-1,,,,,,,,,UNKNOWN,,
1000531280,05/31/2016 09:18:00 AM,06/08/2016 09:15:00 AM,Closed,Utilities,Buffalo Water Authority,Water Issue (Req_Serv),Property,927,MICHIGAN,,Buffalo,NY,,111.24-2-34,,,,,,,,,UNKNOWN,,
1000531427,05/31/2016 10:53:00 AM,05/31/2016 01:24:00 PM,Closed,Dept of Public Works,Rodent Control,Pest (Req_Serv),Property,91,WILLIAM,,Buffalo,NY,,111.14-1-44,,,,,,,,,UNKNOWN,,
1000531597,05/31/2016 12:45:00 PM,06/01/2016 07:21:00 AM,Closed,Dept of Public Works,City Parks,City Parks (Req_Serv),Street,,CLINTON,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000531631,05/31/2016 01:13:00 PM,05/31/2016 01:41:00 PM,Closed,Dept of Public Works,Streets,PW Vacant Lot (Req_Serv),Property,592,SYCAMORE,,Buffalo,NY,,111.34-5-9,,,,,,,,,UNKNOWN,,
1000531810,05/31/2016 04:12:00 PM,06/01/2016 02:38:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Pay Station (Req_Serv),Street,,EAGLE WEST,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000531903,06/01/2016 09:41:00 AM,07/13/2016 11:39:00 AM,Closed,DPIS,Housing,Housing Violations (Req_Serv),Unknown,Unknown,Unknown,Unknown,Buffalo,NY,,Unknown,,,,,,,,,UNKNOWN,,
1000531941,06/01/2016 10:19:00 AM,06/17/2016 03:29:00 PM,Closed,Dept of Public Works,Sanitation,Recycling Tote Replace (Req_Serv),Individual,,,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000532082,06/01/2016 12:58:00 PM,06/01/2016 02:12:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Pay Station (Req_Serv),Street,,Swan St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000532088,06/01/2016 01:06:00 PM,06/17/2016 03:33:00 PM,Closed,Dept of Public Works,Sanitation,Recycling Tote Deliver (Req_Serv),Individual,,,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000532412,06/02/2016 12:20:00 PM,06/06/2016 01:27:00 PM,Closed,Dept of Public Works,Engineering - Street Repairs,Paving (Req_Serv),Street,,HARP,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000532458,06/02/2016 01:37:00 PM,06/08/2016 09:08:00 AM,Closed,Dept of Public Works,Engineering - Street Repairs,Cave In (Req_Serv),Street,,Ontario St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000532512,06/02/2016 02:53:00 PM,06/06/2016 03:35:00 PM,Closed,Dept of Public Works,Streets,Sweeper (Req_Serv),Street,,POMONA,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000532569,06/02/2016 04:58:00 PM,06/08/2016 12:29:00 PM,Closed,Dept of Public Works,Forestry,Tree Trimming Request (Req_Serv),Street,,MINTON,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000532626,06/03/2016 09:26:00 AM,06/15/2016 11:40:00 AM,Closed,Dept of Public Works,Sanitation,Totes Replace (Req_Serv),Property,297,HAMBURG,,Buffalo,NY,,122.33-5-33,,,,,,,,,UNKNOWN,,
1000532727,06/03/2016 11:15:00 AM,09/12/2016 08:57:00 AM,Closed,Office of the Mayor,Citizen Services - Quick Response Teams,QRT Other Issue (Req_Serv),Property,210,CLINTON,,Buffalo,NY,,111.14-1-42,,,,,,,,,UNKNOWN,,
